"Categories","Diseases or Functions Annotation","p-value","Molecules","# Molecules"
"Dermatological Diseases and Conditions,Hereditary Disorder,Organismal Injury and Abnormalities","Susceptibility to pseudofolliculitis barbae",0.00948,"KRT75",1
"Organismal Development,Skeletal and Muscular System Development and Function","Formation of wing",0.00948,"VGLL1",1
"Hematological Disease,Metabolic Disease,Nutritional Disease,Organismal Injury and Abnormalities","Systemic hemosiderosis due to aceruloplasminemia",0.00948,"CP",1
"Cardiovascular System Development and Function,Cell-To-Cell Signaling and Interaction","Activation of HCAEC cells",0.00948,"LBP",1
"Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities,Reproductive System Disease","Primary small cell cervical cancer",0.00948,"NKX2-1",1
"Cell Cycle","Tetraploidy of bone cancer cell lines",0.00948,"CDH1",1
"Cell Death and Survival,Organismal Injury and Abnormalities","Apoptosis of squamous epithelial cells",0.00948,"CDH1",1
"Cell Cycle","Arrest in G0 phase of breast cell lines",0.00948,"PI3",1
"Cellular Function and Maintenance,Reproductive System Development and Function","Organization of gonadal cell lines",0.00948,"CDH1",1
"Amino Acid Metabolism,Energy Production,Post-Translational Modification,Small Molecule Biochemistry","Auto-oxidation of L-cysteine",0.00948,"CP",1
"Cardiovascular Disease,Hereditary Disorder,Organismal Injury and Abnormalities","Familial sinus bradycardia",0.00948,"HCN4",1
"Connective Tissue Disorders,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Sacral agenesis with vertebral anomalies",0.00948,"TBXT",1
"Cancer,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities","Extranodal mantle cell lymphoma",0.00948,"SOX11",1
"Developmental Disorder,Hereditary Disorder,Ophthalmic Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Microphthalmia with limb anomalies",0.00948,"SMOC1",1
"Drug Metabolism,Molecular Transport","Uptake of cephalexin",0.00948,"SLC15A1",1
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Hereditary sensory neuropathy type IIC",0.00948,"KIF1A",1
"Dermatological Diseases and Conditions,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities","Erythrokeratodermia variabilis et progressiva 5",0.00948,"KRT83",1
"Developmental Disorder,Endocrine System Disorders,Hereditary Disorder,Organismal Injury and Abnormalities,Reproductive System Disease","46, XY sex reversal type 4",0.00948,"DMRT1",1
"Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities,Psychological Disorders","Neurodevelopmental disorder with poor language and loss of hand skills",0.00948,"GABBR2",1
"Connective Tissue Disorders,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Multiple epiphyseal dysplasia with myopathy type 3",0.00948,"COL9A3",1
"Cardiovascular Disease,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Familial hypertrophic cardiomyopathy type 23",0.00948,"ACTN2",1
"Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities","Hereditary aceruloplasminemia",0.00948,"CP",1
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Autosomal recessive spastic paraplegia type 30",0.00948,"KIF1A",1
"Endocrine System Disorders,Hematological Disease,Hereditary Disorder,Organismal Injury and Abnormalities","Infantile hypercalcemia type 1",0.00948,"CYP24A1",1
"Cancer,Organismal Injury and Abnormalities,Reproductive System Disease","Development of lobular breast adenocarcinoma",0.00948,"CDH1",1
"Cell Cycle","Exit from G1 phase of breast cancer cell lines",0.00948,"ELF5",1
"Cellular Assembly and Organization","Decapping of actin filaments",0.00948,"ACTN2",1
"Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Severe osteoporosis",0.00948,"SOST",1
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Familial hemiplegic migraine type 3",0.00948,"SCN1A",1
"Cell Death and Survival","Killing of B lymphoblastoid cell lines",0.00948,"RAET1L",1
"Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Autosomal dominant mental retardation type 27",0.00948,"SOX11",1
"Cardiovascular Disease,Developmental Disorder,Organismal Injury and Abnormalities,Respiratory Disease","Total anomalous pulmonary venous return",0.00948,"ANKRD1",1
"Embryonic Development,Tissue Development","Adhesion of embryoblast",0.00948,"CDH1",1
"Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities","TNM stage II gastric cancer",0.00948,"TMPRSS4",1
"Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Benign familial neonatal seizures 1 and/or myokymia",0.00948,"KCNQ2",1
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Generalized epilepsy with febrile seizures plus type 2",0.00948,"SCN1A",1
"Dermatological Diseases and Conditions,Infectious Diseases,Organismal Injury and Abnormalities","Scabies",0.00948,"SCN1A",1
"Developmental Disorder,Gastrointestinal Disease,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities","Congenital lactase deficiency",0.00948,"LCT",1
"Connective Tissue Disorders,Developmental Disorder,Gastrointestinal Disease,Hereditary Disorder,Ophthalmic Disease,Organismal Development,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Blepharocheilodontic syndrome type 1",0.00948,"CDH1",1
"Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Autosomal dominant mental retardation type 9",0.00948,"KIF1A",1
"Developmental Disorder,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities,Respiratory Disease","Surfactant metabolism dysfunction due to protein C deficiency",0.00948,"SFTPC",1
"Hereditary Disorder,Organismal Injury and Abnormalities","FGA-related disorder",0.00948,"FGA",1
"Neurological Disease,Organismal Injury and Abnormalities","Drug resistant multifocal epilepsy",0.00948,"SCN1A",1
"Amino Acid Metabolism,Molecular Transport,Small Molecule Biochemistry","Quantity of L-tryptophan",0.00948,"CA9",1
"Cancer,Connective Tissue Disorders,Developmental Disorder,Gastrointestinal Disease,Hereditary Disorder,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Hereditary diffuse gastric cancer and cleft lip",0.00948,"CDH1",1
"Cell Death and Survival","Killing of Bacillus anthracis",0.00948,"CXCL10",1
"Cell Cycle","Exit from mitosis of adenocarcinoma cell lines",0.00948,"CYP24A1",1
"Cardiovascular Disease,Organismal Injury and Abnormalities","Trauma-hemorrhagic shock",0.00948,"CXCL10",1
"Amino Acid Metabolism,Molecular Transport,Small Molecule Biochemistry","Quantity of L-methionine",0.00948,"CA9",1
"Cardiovascular Disease,Cardiovascular System Development and Function,Hereditary Disorder,Organ Morphology,Organismal Development,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Dilated cardiomyopathy type 1AA",0.00948,"ACTN2",1
"Cardiovascular Disease,Cardiovascular System Development and Function,Hereditary Disorder,Organ Morphology,Organismal Development,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","ANKRD1-related dilated cardiomyopathy",0.00948,"ANKRD1",1
"Cellular Assembly and Organization","Formation of filamentous network",0.00948,"INA",1
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Autosomal dominant benign hereditary chorea",0.00948,"NKX2-1",1
"Cardiovascular Disease,Hereditary Disorder,Organismal Injury and Abnormalities","Sick sinus syndrome type 2 with cardiac noncompaction and ascending aorta dilation",0.00948,"HCN4",1
"Carbohydrate Metabolism,Small Molecule Biochemistry","Dissociation of lipopolysaccharide",0.00948,"LBP",1
"Cell Death and Survival","Cell viability of embryonic cancer cell lines",0.00948,"TBXT",1
"Small Molecule Biochemistry","Catabolism of glycolic acid",0.00948,"HAO1",1
"Dermatological Diseases and Conditions,Developmental Disorder,Hereditary Disorder,Organismal Injury and Abnormalities","Autosomal recessive congenital ichthyosis type 12",0.00948,"CASP14",1
"Lipid Metabolism,Small Molecule Biochemistry","Mobilization of all-trans-retinyl esters",0.00948,"RGR",1
"Drug Metabolism","Catabolism of coumarin",0.00948,"CYP2A6 (includes others)",1
"Gastrointestinal Disease,Hepatic System Disease,Organismal Injury and Abnormalities","Hepatic insufficiency",0.00948,"CHGA",1
"Cellular Development,Cellular Growth and Proliferation","Delay in growth of breast cancer cell lines",0.00948,"CA9",1
"Cancer,Organismal Injury and Abnormalities","Metastasis of squamous cell carcinoma cell lines",0.00948,"MMP1",1
"Small Molecule Biochemistry","Production of putrescine",0.00948,"CA9",1
"Cellular Assembly and Organization,Cellular Function and Maintenance","Organization of keratin intermediate filaments",0.00948,"KRT20",1
"Cell Cycle","Senescence of kidney cells",0.00948,"CYP24A1",1
"Dermatological Diseases and Conditions,Infectious Diseases,Organismal Injury and Abnormalities","Pediculosis capitis",0.00948,"SCN1A",1
"Cancer","Establishment of carcinoma cell lines",0.00948,"FZD9",1
"Cancer,Organismal Injury and Abnormalities,Reproductive System Disease","Uterine serous carcinoma",0.00948,"CDH1,CRABP1,GAL,INA,KRT34,KRT81,PI3,VGLL1",8
"Organismal Injury and Abnormalities","Chronic pain",0.00963,"CA6,CA9,GABBR2,OPRK1,SCN1A",5
"Organismal Injury and Abnormalities","Adverse drug reaction",0.00963,"CA6,CA9,GABRP,OPRK1,SLC12A1,UGT1A9 (includes others)",6
"Cardiovascular Disease","Controlled hypertension",0.00982,"CA6,CA9",2
"Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Anterior cruciate ligament rupture",0.00982,"OPRK1,SCN1A",2
"Connective Tissue Disorders,Hereditary Disorder,Inflammatory Disease,Organismal Injury and Abnormalities,Respiratory Disease","Familial idiopathic pulmonary fibrosis",0.00982,"MMP1,SFTPC",2
"Developmental Disorder,Hereditary Disorder,Metabolic Disease,Organismal Injury and Abnormalities,Renal and Urological Disease","Inborn error renal tubular transport",0.01,"CA6,CA9,SLC12A1",3
"Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities","Extrapancreatic neuroendocrine tumor",0.01,"C18orf63,C1orf94,CALCB,CARTPT,CCKBR,CDH19,CHGA,CHRDL2,CT83,DDC,DLX6,DNER,FBN3,FETUB,FGA,FZD9,GAL,GLDC,GNGT1,HRCT1,IL36A,KLHL1,LACRT,LCT,LUZP4,LYZL1,MAGEA3/MAGEA6,MAGEA4,MAGEA9/MAGEA9B,MAGEB4,NETO1,NKX2-1,NR2E1,OPRK1,PCDH11X,PGBD5,PXDNL,RGR,S100A8,SCN1A,SH3GL3,SLC12A1,SLC26A9,SLIT1,SMR3A,STRA8,SULT1C3,TAFA4,TBXT,TLX3,TMPRSS4,UGT1A6,UGT1A9 (includes others),UGT2B10,ZP4",55
"Digestive System Development and Function","Development of digestive system",0.0102,"AMTN,FOXA2,GABRP,WNT6",4
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Autosomal dominant epilepsy",0.0102,"GABBR2,GAL,KCNQ2,SCN1A",4
"Dermatological Diseases and Conditions,Organismal Injury and Abnormalities","Senile lentigo",0.0106,"FABP7,FADS2,GAL",3
"Cardiovascular Disease,Organismal Injury and Abnormalities","Chronic heart failure",0.0106,"CA6,CA9,SLC12A1",3
"Respiratory Disease","Respiratory depression",0.0106,"GABRP,OPRK1,SCN1A",3
"Developmental Disorder,Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Early infantile epileptic encephalopathy type 1",0.0111,"KCNQ2,SCN1A",2
"Inflammatory Disease,Ophthalmic Disease,Organismal Injury and Abnormalities","Chronic anterior uveitis",0.0111,"CA6,CA9",2
"Cancer,Organismal Injury and Abnormalities,Reproductive System Disease","Benign prostatic hyperplasia",0.0118,"CDH1,GABRP,MMP1",3
"Neurological Disease,Skeletal and Muscular Disorders","Muscle spasm",0.0118,"GABRP,OPRK1,SCN1A",3
"Cancer,Endocrine System Disorders,Organismal Injury and Abnormalities","Endocrine cancer",0.0119,"A2ML1,AARD,ACE2,ACTL8,ACTN2,AFAP1-AS1,AMTN,ANKRD1,BARHL2,BPI,C11orf86,C18orf63,C1orf94,CA6,CA9,CALCB,CASP14,CCKBR,CDH1,CDH19,CDK5R2,CELF4,CHGA,CHODL,CHRDL2,CHRNA9,CLDN6,COL9A3,CP,CPB1,CRABP1,CT83,CYP24A1,CYP27C1,CYP2A6 (includes others),CYP2F1,DDC,DHRS2,DIO1,DLX6,DMRT1,DNER,ELF5,EN1,FADS2,FBN3,FETUB,FGA,FGB,FOXA2,FZD9,GABBR2,GABRP,GAL,GGTLC2,GLDC,GNAT3,HCN4,HORMAD1,HRCT1,IL36A,INA,KCNE5,KCNQ2,KCNV1,KIF1A,KLHL1,KLHL34,KRT20,KRT34,KRT38,KRT6C,KRT75,KRT81,KRT83,KRT85,LACRT,LBP,LCT,LMO1,LUZP4,LY6D,LYZL1,MAGEA3/MAGEA6,MAGEA4,MAGEA9/MAGEA9B,MAGEB1,MAGEB4,MMP1,MSLN,NETO1,NKX1-2,NKX2-1,NR2E1,OPRK1,PADI3,PCDH11X,PCDH8,PCSK1N,PGBD5,POU4F1,PPDPFL,PPP1R14C,PRAME,PRDM13,PRKAG3,PROKR2,PRSS3,PRSS33,PXDNL,RAET1L,RCOR2,RGR,RLBP1,S100A8,SCN1A,SH3GL3,SLC12A1,SLC15A1,SLC1A6,SLC26A9,SLC28A1,SLC39A12,SLC6A17,SLIT1,SMC1B,SMOC1,SMR3A,SOST,SOX11,SPANXB1 (includes others),SPDYC,STRA8,SULT1C3,SVOP,TAFA4,TBXT,TCERG1L,TLX3,TMPRSS4,TRIM15,TRIM43/TRIM43B,UGT1A6,UGT1A9 (includes others),UGT2A3,UGT2B10,UGT2B11,UGT2B28,UGT2B4,VGLL1,WNT6,ZP4",152
"Organismal Injury and Abnormalities,Renal and Urological Disease","Renal impairment",0.0122,"CA6,CA9,CHGA,CHRNA9,GABRP,SCN1A,SLC12A1",7
"Cancer,Organismal Injury and Abnormalities","Cancer",0.0123,"A2ML1,AARD,ACE2,ACTL8,ACTN2,AFAP1-AS1,AMTN,ANKRD1,ART3,BARHL2,BPI,C11orf86,C18orf63,C1orf94,CA6,CA9,CALCB,CARTPT,CASP14,CCKBR,CCL7,CDH1,CDH19,CDK5R2,CELF4,CHGA,CHODL,CHRDL2,CHRNA9,CLDN6,COL9A3,CP,CPB1,CRABP1,CRISP3,CRNN,CSAG2/CSAG3,CT83,CXCL10,CYP24A1,CYP27C1,CYP2A6 (includes others),CYP2F1,DCD,DDC,DHRS2,DIO1,DLK1,DLX6,DMRT1,DNER,ELF5,EN1,FABP7,FADS2,FBN3,FETUB,FGA,FGB,FOXA2,FZD9,GABBR2,GABRP,GAL,GGTLC2,GLDC,GNAT3,GNGT1,GSTA2,HAO1,HCN4,HORMAD1,HRCT1,IL36A,INA,KCNE5,KCNQ2,KCNV1,KIF1A,KLHL1,KLHL34,KRT20,KRT34,KRT38,KRT6C,KRT75,KRT81,KRT83,KRT85,LACRT,LBP,LBX1,LCT,LEMD1,LIN28B,LINC00261,LINC00393,LMO1,LUZP4,LY6D,LYZL1,MAGEA3/MAGEA6,MAGEA4,MAGEA9/MAGEA9B,MAGEB1,MAGEB4,MMP1,MSLN,MUC21,NETO1,NGB,NKX1-2,NKX2-1,NR2E1,OPRK1,PADI3,PCDH11X,PCDH8,PCSK1N,PGBD5,PGPEP1L,PI3,PNMA6E,POU4F1,PPDPFL,PPP1R14C,PRAME,PRDM13,PRKAG3,PROKR2,PRR27,PRSS3,PRSS33,PSAPL1,PXDNL,RAB3B,RAET1L,RCOR2,RGR,RLBP1,ROPN1,S100A2,S100A8,SCHLAP1,SCN1A,SFTA3,SFTPC,SH3GL3,SLC12A1,SLC15A1,SLC1A6,SLC26A9,SLC28A1,SLC39A12,SLC6A17,SLIT1,SMC1B,SMOC1,SMR3A,SOST,SOX11,SPANXB1 (includes others),SPDYC,SPRR1A,SPRR2D,STRA8,SULT1C3,SVOP,TAFA4,TBXT,TCAM1P,TCERG1L,TLX3,TMPRSS4,TMSB15A,TRIM15,TRIM43/TRIM43B,UBD,UGT1A6,UGT1A9 (includes others),UGT2A3,UGT2B10,UGT2B11,UGT2B28,UGT2B4,VGLL1,WNT6,ZFP42,ZNF280A,ZP4",190
"Dermatological Diseases and Conditions,Organismal Injury and Abnormalities","Loose anagen hair syndrome",0.0124,"A2ML1,KRT75",2
"Cellular Compromise","Injury of cells",0.0124,"CHGA,PI3",2
"Infectious Diseases,Inflammatory Disease,Ophthalmic Disease,Organismal Injury and Abnormalities","Infectious conjunctivitis",0.0124,"CA6,CA9",2
"Organismal Functions,Organismal Injury and Abnormalities,Tissue Morphology","Closure of wound",0.0124,"FGA,FGB",2
"Digestive System Development and Function,Embryonic Development,Organ Development,Organismal Development","Tooth development",0.0125,"AMTN,GABRP,WNT6",3
"Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Intervertebral disc disorder",0.0125,"COL9A3,OPRK1,SCN1A",3
"Dermatological Diseases and Conditions,Organismal Injury and Abnormalities","Chronic skin disorder",0.0134,"CXCL10,KRT6C,PI3,PRSS3,S100A2,S100A8,SPRR1A,SPRR2D",8
"Molecular Transport","Transport of molecule",0.0136,"ACTN2,ANKRD1,CA6,CA9,CARTPT,CDH1,CHGA,CP,FGA,FGB,FOXA2,GAL,HCN4,KCNQ2,KCNV1,LACRT,LBP,NGB,SLC12A1,SLC15A1,SLC1A6,SLC26A9,SLC28A1",23
"Cellular Development,Tissue Development","Differentiation of nervous tissue",0.0137,"CDK5R2,EN1,FOXA2,SOX11",4
"Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders,Tissue Morphology","Ankle fracture",0.0137,"OPRK1,SCN1A",2
"Cancer,Cellular Development,Cellular Growth and Proliferation,Neurological Disease,Organismal Injury and Abnormalities,Tumor Morphology","Proliferation of glioma cells",0.0137,"DLK1,SCHLAP1",2
"Lipid Metabolism,Small Molecule Biochemistry,Vitamin and Mineral Metabolism","Metabolism of retinol",0.0137,"CYP27C1,RLBP1",2
"Ophthalmic Disease,Organismal Injury and Abnormalities","Acute angle closure glaucoma",0.0137,"CA6,CA9",2
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Hereditary sensory and autonomic neuropathy",0.0137,"DDC,KIF1A",2
"Ophthalmic Disease,Organismal Injury and Abnormalities","Chronic open angle glaucoma",0.0137,"CA6,CA9",2
"Cancer,Organismal Injury and Abnormalities,Respiratory Disease","Lung adenocarcinoma",0.014,"A2ML1,ACE2,ACTN2,CDH1,CYP27C1,DIO1,DLK1,DLX6,DMRT1,FGB,HAO1,KCNQ2,KCNV1,KIF1A,KRT20,KRT38,KRT6C,LINC00261,LUZP4,MAGEA3/MAGEA6,MAGEA4,MAGEA9/MAGEA9B,MAGEB4,MMP1,MUC21,NKX2-1,NR2E1,PCDH11X,PCDH8,PRAME,PXDNL,RCOR2,SCN1A,SH3GL3,SLC39A12,SPANXB1 (includes others),UGT1A9 (includes others),UGT2B11,ZP4",39
"Cancer,Organismal Injury and Abnormalities,Reproductive System Disease","Uterine serous papillary cancer",0.0142,"CRABP1,GAL,INA,KRT34,KRT81,PI3,VGLL1",7
"Cancer,Gastrointestinal Disease,Organismal Injury and Abnormalities","Esophageal adenocarcinoma",0.0144,"FADS2,LACRT,LBP,MAGEA3/MAGEA6,MAGEA4,MAGEA9/MAGEA9B,PADI3,PROKR2,PXDNL,SCN1A,SLC39A12,STRA8",12
"Molecular Transport","Transport of K+",0.0146,"ACTN2,HCN4,KCNQ2,KCNV1",4
"Cardiovascular System Development and Function,Embryonic Development,Organismal Development,Tissue Development","Angiogenesis of chorioallantoic membrane",0.0152,"BPI,CDH1",2
"Metabolic Disease,Organismal Injury and Abnormalities","Hyperbilirubinemia",0.0152,"UGT1A6,UGT1A9 (includes others)",2
"Hair and Skin Development and Function","Hair growth cycle",0.0152,"GAL,KRT83",2
"Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders","Pain of joint",0.0152,"OPRK1,SCN1A",2
"Organismal Injury and Abnormalities","Cancer pain",0.0152,"OPRK1,SCN1A",2
"Hematological System Development and Function","Fibrinolysis",0.0152,"FGA,FGB",2
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response","Binding of neutrophils",0.0153,"CXCL10,FGA,S100A8",3
"Gastrointestinal Disease,Organismal Injury and Abnormalities","Benign oral disorder",0.0154,"AMTN,CDH1,CRNN,CXCL10,GABRP,MMP1,OPRK1,PRSS33,SCN1A,SPRR1A,SPRR2D,UBD",12
"Lipid Metabolism,Small Molecule Biochemistry,Vitamin and Mineral Metabolism","Steroid metabolism",0.0155,"CYP24A1,CYP2A6 (includes others),UGT1A9 (includes others),UGT2B11,UGT2B28,UGT2B4",6
"Cardiovascular System Development and Function,Hematological System Development and Function","Blood pressure",0.0161,"ACE2,CARTPT,CHGA",3
"Connective Tissue Disorders,Organismal Injury and Abnormalities,Skeletal and Muscular Disorders,Tissue Morphology","Femoral fracture",0.0167,"OPRK1,SCN1A",2
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Spinocerebellar ataxia type 2",0.0167,"SCN1A,SLC1A6",2
"Post-Translational Modification","Cross-linkage of peptide",0.0167,"PI3,SPRR1A",2
"Organismal Injury and Abnormalities","Fibrin clot",0.0167,"FGA,FGB",2
"Organismal Injury and Abnormalities,Renal and Urological Disease","Renal colic",0.0167,"OPRK1,SCN1A",2
"Hereditary Disorder,Neurological Disease,Organismal Injury and Abnormalities","Spinocerebellar ataxia type 7",0.0167,"SCN1A,SLC1A6",2
"Cardiovascular Disease","Mild hypertension",0.0167,"CA6,CA9",2
"Organismal Injury and Abnormalities","Critical illness",0.0167,"CHRNA9,GABRP,SCN1A,SLC12A1",4
"Cancer,Organismal Injury and Abnormalities","Mesothelioma",0.017,"CDH1,KRT20,MSLN,MUC21,NKX2-1",5
"Endocrine System Disorders,Organismal Injury and Abnormalities,Reproductive System Disease","Polycystic ovary syndrome",0.017,"CA6,CA9,NFE4,S100A8,SCN1A",5
"Endocrine System Disorders,Gastrointestinal Disease,Organismal Injury and Abnormalities","Pancreatic dysplasia",0.017,"CCKBR,CYP2F1,KLHL1,MUC21,OPRK1,UGT1A6,UGT1A9 (includes others)",7
"Dermatological Diseases and Conditions,Immunological Disease,Inflammatory Disease,Organismal Injury and Abnormalities","Lichen planus",0.0173,"DCD,FADS2,S100A2,S100A8",4
"Respiratory Disease","Acute respiratory disorder",0.0178,"ACE2,BPI,CA6,CA9,CHRNA9,CXCL10,GABRP,SCN1A,SLC12A1",9
"Embryonic Development,Organismal Development","Development of body trunk",0.018,"ACTN2,ANKRD1,CDH1,EN1,FABP7,FOXA2,TBXT",7
"Cell-To-Cell Signaling and Interaction,Molecular Transport,Small Molecule Biochemistry","Uptake of neurotransmitter",0.0182,"RAB3B,SLC1A6",2
"Cell Death and Survival","Cell viability of epithelial cells",0.0182,"EN1,UBD",2
"Cell-To-Cell Signaling and Interaction,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response","Aggregation of phagocytes",0.0182,"CDH1,S100A8",2
"Cardiovascular Disease","Stage II systolic hypertension",0.0182,"CA6,CA9",2
"Cardiovascular Disease","Childhood hypertension",0.0182,"CA6,CA9",2
"Organismal Injury and Abnormalities","Wound",0.0185,"FGA,FGB,SFTA3",3
"Neurological Disease,Organismal Injury and Abnormalities","Cluster headache",0.0185,"CA6,CA9,SCN1A",3
"Neurological Disease,Organismal Injury and Abnormalities","Childhood encephalopathy",0.0186,"CA6,CA9,GABBR2,KCNQ2,RLBP1,SCN1A",6
"Cancer,Organismal Injury and Abnormalities","Malignant solid tumor",0.0187,"A2ML1,AARD,ACE2,ACTL8,ACTN2,AFAP1-AS1,AMTN,ANKRD1,ART3,BARHL2,BPI,C11orf86,C18orf63,C1orf94,CA6,CA9,CALCB,CARTPT,CASP14,CCKBR,CCL7,CDH1,CDH19,CDK5R2,CELF4,CHGA,CHODL,CHRDL2,CHRNA9,CLDN6,COL9A3,CP,CPB1,CRABP1,CRISP3,CRNN,CT83,CXCL10,CYP24A1,CYP27C1,CYP2A6 (includes others),CYP2F1,DCD,DDC,DHRS2,DIO1,DLK1,DLX6,DMRT1,DNER,ELF5,EN1,FABP7,FADS2,FBN3,FETUB,FGA,FGB,FOXA2,FZD9,GABBR2,GABRP,GAL,GGTLC2,GLDC,GNAT3,GNGT1,GSTA2,HAO1,HCN4,HORMAD1,HRCT1,IL36A,INA,KCNE5,KCNQ2,KCNV1,KIF1A,KLHL1,KLHL34,KRT20,KRT34,KRT38,KRT6C,KRT75,KRT81,KRT83,KRT85,LACRT,LBP,LBX1,LCT,LEMD1,LIN28B,LINC00261,LINC00393,LMO1,LUZP4,LY6D,LYZL1,MAGEA3/MAGEA6,MAGEA4,MAGEA9/MAGEA9B,MAGEB1,MAGEB4,MMP1,MSLN,MUC21,NETO1,NGB,NKX1-2,NKX2-1,NR2E1,OPRK1,PADI3,PCDH11X,PCDH8,PCSK1N,PGBD5,PGPEP1L,PI3,PNMA6E,POU4F1,PPDPFL,PPP1R14C,PRAME,PRDM13,PRKAG3,PROKR2,PRR27,PRSS3,PRSS33,PSAPL1,PXDNL,RAB3B,RAET1L,RCOR2,RGR,RLBP1,ROPN1,S100A2,S100A8,SCHLAP1,SCN1A,SFTA3,SFTPC,SH3GL3,SLC12A1,SLC15A1,SLC1A6,SLC26A9,SLC28A1,SLC39A12,SLC6A17,SLIT1,SMC1B,SMOC1,SMR3A,SOST,SOX11,SPANXB1 (includes others),SPDYC,SPRR1A,SPRR2D,STRA8,SULT1C3,SVOP,TAFA4,TBXT,TCAM1P,TCERG1L,TLX3,TMPRSS4,TMSB15A,TRIM15,TRIM43/TRIM43B,UBD,UGT1A6,UGT1A9 (includes others),UGT2A3,UGT2B10,UGT2B11,UGT2B28,UGT2B4,VGLL1,WNT6,ZFP42,ZNF280A,ZP4",189
"Cancer,Organismal Injury and Abnormalities","Genitourinary carcinoma",0.0187,"A2ML1,AARD,ACE2,ACTN2,ANKRD1,BARHL2,C1orf94,CA9,CALCB,CCKBR,CCL7,CDH1,CDH19,CELF4,CHGA,CHRNA9,CLDN6,COL9A3,CP,CPB1,CRABP1,CRNN,CXCL10,CYP24A1,CYP2A6 (includes others),CYP2F1,DCD,DDC,DIO1,DLK1,DLX6,DMRT1,DNER,EN1,FABP7,FADS2,FBN3,FETUB,FGA,FOXA2,FZD9,GABBR2,GABRP,GAL,GLDC,GNGT1,GSTA2,HAO1,HCN4,HORMAD1,HRCT1,IL36A,INA,KCNE5,KCNQ2,KCNV1,KIF1A,KLHL1,KLHL34,KRT20,KRT34,KRT75,KRT81,KRT83,KRT85,LACRT,LCT,LIN28B,LINC00261,LUZP4,LYZL1,MAGEA3/MAGEA6,MAGEA4,MMP1,MSLN,MUC21,NETO1,NKX2-1,NR2E1,OPRK1,PCDH11X,PCDH8,PGBD5,PGPEP1L,PI3,PNMA6E,POU4F1,PRAME,PRDM13,PRKAG3,PROKR2,PRSS3,PSAPL1,PXDNL,RAET1L,RCOR2,RLBP1,ROPN1,S100A2,S100A8,SCN1A,SH3GL3,SLC12A1,SLC15A1,SLC1A6,SLC26A9,SLC28A1,SLC39A12,SLC6A17,SLIT1,SMC1B,SMOC1,SMR3A,SOST,SOX11,SPANXB1 (includes others),SPDYC,STRA8,SULT1C3,TCERG1L,TMPRSS4,TRIM43/TRIM43B,UGT1A6,UGT1A9 (includes others),UGT2B10,UGT2B11,UGT2B28,UGT2B4,VGLL1,WNT6,ZFP42,ZNF280A,ZP4",133
"Cancer,Developmental Disorder,Hematological Disease,Immunological Disease,Organismal Injury and Abnormalities","Stage IV indolent marginal zone cell lymphoma",0.0189,"KRT20",1
